SA2_5DIG16,shortest_time_sec,shortest_time_min
11113,1861.0427580579355,32.0
11114,338.39830200121287,6.0
11115,640.9960290521553,11.0
11116,477.41740954378605,8.0
11117,392.76371543957754,7.0
11118,986.8719927826784,17.0
11119,925.9952785974657,16.0
11120,2295.1106449686476,39.0
11121,524.4907777406896,9.0
11122,1315.546444572915,22.0
11123,1265.2469327420547,22.0
11124,2080.9689994102614,35.0
11125,1883.1184345281638,32.0
11126,335.57501656177544,6.0
11127,885.6076499999999,15.0
11128,227.0041904761905,4.0
11129,1106.0031374441896,19.0
11131,697.602871017209,12.0
11132,904.0979827089337,16.0
11133,226.5,4.0
11134,319.40550494534097,6.0
11135,683.7,12.0
11136,704.3122495986598,12.0
11137,513.0927500720669,9.0
11138,226.37282749675745,4.0
11139,567.2625939849625,10.0
11140,744.1202662911279,13.0
11141,434.62822038436366,8.0
11142,301.3052932904781,6.0
11143,248.9893589869441,5.0
11144,428.3737025525101,8.0
11145,397.83125606050817,7.0
11146,219.05446220999195,4.0
11147,1070.9003188339789,18.0
11148,232.40250044177415,4.0
11150,246.58024547934136,5.0
11151,1402.8149989422466,24.0
11152,297.8569192060386,5.0
11153,1729.860186854614,29.0
11154,435.9459162218987,8.0
11155,482.93626381075035,9.0
11156,1890.4084380211227,32.0
11157,510.87378214509715,9.0
11158,971.7206112505536,17.0
11159,1449.9627831293933,25.0
11160,634.567931169339,11.0
11161,0.0,0.0
11162,1622.737374821173,28.0
11163,352.65941672898197,6.0
11164,299.56328160919537,5.0
11165,1566.878058435438,27.0
11166,319.95276458464025,6.0
11167,612.7928713264496,11.0
11168,1231.5462151394422,21.0
11169,337.28654240265445,6.0
11170,1879.9239555662884,32.0
11171,223.242112125163,4.0
11172,395.48146351189683,7.0
11173,359.829422548121,6.0
11174,207.32867518884368,4.0
11175,930.8299517740268,16.0
11176,507.3780521451235,9.0
11177,608.3342751429533,11.0
11178,624.5508836278758,11.0
11179,1424.5125,24.0
11180,204.56542379046928,4.0
11181,1040.0880941803641,18.0
11182,266.6535140968569,5.0
11183,1575.0286118980168,27.0
11184,536.1183250556602,9.0
11185,422.9494214876033,8.0
11186,326.18695857480145,6.0
11187,980.4577674212162,17.0
11188,1496.2534282875124,25.0
11189,1311.1206092632888,22.0
11190,639.4047867513611,11.0
11191,399.687408993576,7.0
11192,1825.6144856278368,31.0
11193,1243.1752797728411,21.0
11194,1008.4188682077454,17.0
11195,279.7121847203607,5.0
11196,2306.1119200440125,39.0
11197,320.9510662020906,6.0
11198,1436.500188245137,24.0
11199,244.00184618745902,5.0
11200,1372.1394826744754,23.0
11201,876.3276250972259,15.0
11202,617.2058800431923,11.0
11203,307.72400079538676,6.0
11204,598.115099766313,10.0
11205,1283.4053397533003,22.0
11206,308.4138586496701,6.0
11207,573.5561563169165,10.0
11208,274.2677475898335,5.0
11209,422.7146745410194,8.0
11210,267.3693510291306,5.0
11211,481.4284732168433,9.0
11212,949.4758737316799,16.0
11213,341.13172643869893,6.0
11214,244.78815286624206,5.0
11215,613.9237569060774,11.0
11216,580.6763615560641,10.0
11217,829.6549246160349,14.0
11218,875.2039275933471,15.0
