SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11260,Tumbarumba,4520.6743,3514.0,0.01367949701493833,0.8
11261,Tumut,40.3087,6683.0,0.026015958608660458,165.8
11262,Tumut Surrounds,4613.7431,4737.0,0.01844046026174242,1.0
11263,Cootamundra,1656.1222,7688.0,0.029928279183507652,4.6
11264,Gundagai,2362.5241,3713.0,0.014454175417321006,1.6
11265,Junee,1970.8746,6382.0,0.024844208864352995,3.2
11266,Temora,3434.2619,6586.0,0.02563835154820257,1.9
11267,Wagga Wagga - East,54.0429,16925.0,0.06588659276546137,313.2
11268,Wagga Wagga - North,53.6776,5606.0,0.021823352380689894,104.4
11269,Wagga Wagga - South,29.4358,22688.0,0.08832112358421196,770.8
11270,Wagga Wagga - West,54.9391,12014.0,0.04676877550867077,218.7
11271,Wagga Wagga Surrounds,9334.6874,17828.0,0.06940184199838377,1.9
11272,Berry - Kangaroo Valley,537.0884,9411.0,0.036635670577001886,17.5
11273,Callala Bay - Currarong,166.9089,3627.0,0.014119389776090301,21.7
11274,Culburra Beach,76.4017,5087.0,0.01980295996442552,66.6
11275,Ettrema - Sassafras - Budawang,2144.4618,62.0,0.00024135709018957782,
11276,Huskisson - Vincentia,31.0117,4822.0,0.018771353046679748,155.5
11277,North Nowra - Bomaderry,99.7318,16092.0,0.06264384347307558,161.4
11278,Nowra,101.6799,22847.0,0.08894008773485944,224.7
11279,St Georges Basin - Erowal Bay,76.8594,15259.0,0.059401094180689805,198.5
11280,Sussex Inlet - Berrara,40.4363,4654.0,0.01811735318939186,115.1
11281,Tomerong - Wandandian - Woollamia,375.9761,3700.0,0.014403568285507063,9.8
11282,Ulladulla,46.7765,16951.0,0.06598780702908925,362.4
11283,Ulladulla Surrounds,677.6148,5784.0,0.022516280800911583,8.5
11284,Bowral,55.572,13539.0,0.05270538135607571,243.6
11285,Hill Top - Colo Vale,174.3752,6399.0,0.02491038742134046,36.7
11286,Mittagong,73.7568,10880.0,0.04235427647197752,147.5
11287,Moss Vale - Berrima,118.1152,10601.0,0.041268169566124425,89.8
11288,Robertson - Fitzroy Falls,498.4941,3810.0,0.014831782477778895,7.6
11289,Southern Highlands,1409.7013,7197.0,0.028016886743457925,5.1
11290,Baulkham Hills - East,8.3081,24853.0,0.09674915745938027,2991.4
11291,Baulkham Hills (West) - Bella Vista,10.8721,21792.0,0.08483312434534322,2004.4
11294,Glenhaven,7.2309,6368.0,0.02478970887624567,880.7
11296,West Pennant Hills,7.8291,12698.0,0.049431489213342894,1621.9
11553,Castle Hill - Central,4.1512,7685.0,0.029916600614627507,1851.3
11554,Castle Hill - East,2.072,5673.0,0.02208417375234637,2737.9
11555,Castle Hill - North,6.8149,12214.0,0.047547346767346836,1792.2
11556,Castle Hill - South,4.1277,10436.0,0.040625848277716675,2528.3
11557,Castle Hill - West,1.6363,5198.0,0.020235067012990732,3176.7
11558,Cherrybrook,8.2514,19135.0,0.0744898051738318,2319.0
11559,Kellyville - East,5.7375,17748.0,0.06909041349491335,3093.3
11559,Kellyville - West,4.9945,11417.0,0.04444474030152274,2285.9
11297,Dural - Kenthurst - Wisemans Ferry,377.5396,22586.0,0.08792405224228717,59.8
11298,Galston - Laughtondale,191.699,5438.0,0.021169352523402005,28.4
11299,Bilpin - Colo - St Albans,2160.1601,2854.0,0.01111021186130734,1.3
11300,Kurrajong Heights - Ebenezer,331.85,22296.0,0.0867951239172069,67.2
11301,Pitt Town - McGraths Hill,80.503,11450.0,0.04457320455920429,142.2
11302,Box Hill - Nelson,21.0706,10330.0,0.04021320551061837,490.3
11302,North Kellyville,8.0039,17486.0,0.0680704851460477,2184.7
11302,Rouse Hill - Beaumont Hills,8.6462,17609.0,0.06854930647013348,2036.6
11303,Blacktown (East) - Kings Park,7.9753,17182.0,0.0668870568328601,2154.4
