SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
107031142,11142,6.1,10311,0.04,1690.327868852459
107031143,11143,9.5,20992,0.09,2209.684210526316
107041144,11144,12.3,22018,0.09,1790.081300813008
107041145,11145,11.1,15950,0.07,1436.936936936937
107041146,11146,18.8,21976,0.09,1168.936170212766
107041147,11147,154.8,9045,0.04,58.43023255813953
107041148,11148,16.2,11809,0.05,728.9506172839507
107041150,11150,15.8,20271,0.08,1282.9746835443038
107041548,11548,5.5,14649,0.06,2663.4545454545455
107041549,11549,5.7,17574,0.07,3083.157894736842
108011151,11151,2334.0,4790,0.02,2.0522707797772064
108011152,11152,33.9,14607,0.06,430.8849557522124
108011153,11153,749.5,6231,0.03,8.313542361574383
108011154,11154,15.7,6267,0.03,399.171974522293
108021155,11155,195.2,15058,0.06,77.14139344262296
108021156,11156,3627.3,9194,0.04,2.5346676591404074
108021157,11157,83.8,4883,0.02,58.269689737470166
108021158,11158,31.1,6837,0.03,219.83922829581994
108021159,11159,1356.1,7798,0.03,5.7503133987169095
108021160,11160,46.0,5235,0.02,113.80434782608695
108031161,11161,16.3,412,0.0,25.2760736196319
108041162,11162,524.9,16934,0.07,32.2613831205944
108041163,11163,42.1,28670,0.12,680.9976247030878
108041164,11164,54.2,17577,0.07,324.2988929889299
108041165,11165,2871.7,5398,0.02,1.8797228122714769
108041166,11166,194.9,11350,0.05,58.23499230374551
108051167,11167,2933.9,5083,0.02,1.732506220389243
108051168,11168,209.6,10729,0.04,51.18797709923664
108051169,11169,125.1,20881,0.09,166.9144684252598
108051170,11170,3344.9,12615,0.05,3.771413196209154
108051171,11171,61.5,5453,0.02,88.66666666666667
109011172,11172,101.5,15413,0.06,151.85221674876848
109011173,11173,24.2,10046,0.04,415.1239669421488
109011174,11174,48.4,10536,0.04,217.68595041322314
109011175,11175,5401.9,11772,0.05,2.1792332327514394
109011176,11176,21.5,14737,0.06,685.4418604651163
109021177,11177,13922.9,3003,0.01,0.2156878236574277
109021178,11178,322.6,6082,0.03,18.853068815871048
109021179,11179,49722.7,3652,0.02,0.07344733894177106
109031180,11180,77.2,5508,0.02,71.34715025906735
109031181,11181,4495.2,6841,0.03,1.5218455241146112
109031182,11182,143.2,7515,0.03,52.47905027932961
109031183,11183,18338.2,6847,0.03,0.37337361354985765
109031184,11184,167.1,5972,0.02,35.73907839616996
109031185,11185,5011.0,9859,0.04,1.9674715625623629
110011186,11186,274.6,24114,0.1,87.8150036416606
110011187,11187,6098.2,4565,0.02,0.7485815486537011
110011188,11188,3280.3,6137,0.03,1.8708654696216809
110011189,11189,6742.5,3282,0.01,0.4867630700778643
110021190,11190,5480.0,8942,0.04,1.6317518248175182
110021191,11191,207.7,11895,0.05,57.27010110736639
110021192,11192,9274.6,5297,0.02,0.5711297522265111
110021193,11193,8283.6,6057,0.03,0.7312038244241634
110021194,11194,7322.8,6667,0.03,0.9104440924236631
110031195,11195,69.4,8474,0.04,122.10374639769451
110031196,11196,19811.1,5635,0.02,0.2844365027686499
110031197,11197,180.4,7372,0.03,40.86474501108648
110031198,11198,11965.6,4971,0.02,0.41544093066791465
110041199,11199,90.2,9468,0.04,104.96674057649668
110041200,11200,5765.9,4221,0.02,0.7320626441665655
110041201,11201,5077.8,7873,0.03,1.550474614990744
110041202,11202,102.2,20788,0.09,203.4050880626223
110041203,11203,76.0,15410,0.06,202.76315789473685
110041204,11204,62.5,5780,0.02,92.48
110041205,11205,8980.5,18839,0.08,2.0977673848894827
111011206,11206,22.2,18274,0.08,823.1531531531532
111011207,11207,6.8,5768,0.02,848.2352941176471
111011208,11208,22.3,24689,0.1,1107.1300448430493
111011209,11209,21.9,24053,0.1,1098.310502283105
111011210,11210,6.3,9124,0.04,1448.2539682539682
111011211,11211,3.7,3616,0.01,977.2972972972973
111011212,11212,32.4,11793,0.05,363.9814814814815
111011213,11213,10.0,12466,0.05,1246.6
111011214,11214,12.5,13753,0.06,1100.24
111021215,11215,22.0,8749,0.04,397.6818181818182
111021216,11216,10.2,8941,0.04,876.5686274509804
111021217,11217,15.6,14552,0.06,932.8205128205128
111021218,11218,330.5,15311,0.06,46.3267776096823
111021219,11219,43.7,13801,0.06,315.812356979405
111021220,11220,13.2,9083,0.04,688.1060606060606
111021221,11221,72.5,6638,0.03,91.55862068965517
111031222,11222,8.0,16213,0.07,2026.625
111031223,11223,59.3,8532,0.04,143.87858347386174
111031224,11224,6.7,12277,0.05,1832.3880597014925
111031225,11225,10.5,17006,0.07,1619.6190476190477
111031226,11226,17.3,14031,0.06,811.0404624277456
111031227,11227,7.5,15314,0.06,2041.8666666666666
111031228,11228,7.2,14315,0.06,1988.1944444444443
111031229,11229,4.0,11266,0.05,2816.5
111031230,11230,30.9,17,0.0,0.5501618122977346
111031231,11231,12.7,11970,0.05,942.5196850393702
111031232,11232,30.5,7567,0.03,248.0983606557377
111031233,11233,21.5,20280,0.08,943.2558139534884
111031234,11234,5.1,12456,0.05,2442.3529411764707
111031235,11235,3.6,8327,0.03,2313.0555555555557
112011236,11236,36.1,17435,0.07,482.96398891966754
112011237,11237,406.5,17130,0.07,42.140221402214024
112011238,11238,186.5,5912,0.02,31.699731903485254
112011239,11239,54.4,8493,0.04,156.12132352941177
112011240,11240,39.8,10000,0.04,251.2562814070352
112011241,11241,543.5,5289,0.02,9.731370745170194
112011242,11242,37.8,7958,0.03,210.52910052910053
112011243,11243,268.1,8195,0.03,30.566952629615812
112021244,11244,139.0,12441,0.05,89.50359712230215
112021245,11245,3950.1,7066,0.03,1.7888154730259993
112021246,11246,25.2,13405,0.06,531.9444444444445
112021247,11247,1979.8,7424,0.03,3.7498737246186487
112021248,11248,63.3,15574,0.06,246.0347551342812
112021249,11249,1233.2,15384,0.06,12.474862147259163
112031250,11250,38.4,13514,0.06,351.92708333333337
112031251,11251,24.3,9137,0.04,376.00823045267487
112031252,11252,908.3,9885,0.04,10.882968182318617
112031253,11253,189.5,13497,0.06,71.22427440633246
112031254,11254,100.3,19837,0.08,197.77666999002992
112031550,11550,9.4,15961,0.07,1697.9787234042553
112031551,11551,29.0,3328,0.01,114.75862068965517
112031552,11552,8.5,8299,0.03,976.3529411764706
113011256,11256,56.3,19748,0.08,350.76376554174067
113011257,11257,23020.2,13238,0.05,0.5750601645511333
113011258,11258,373.9,10313,0.04,27.582241240973524
113011259,11259,5409.3,6165,0.03,1.139703843380844
113021260,11260,4520.7,3529,0.01,0.7806313181586922
113021261,11261,40.3,6391,0.03,158.58560794044666
113021262,11262,4613.7,4766,0.02,1.0330103821228083
113031263,11263,1656.1,7673,0.03,4.6331743252219075
113031264,11264,2362.5,3636,0.02,1.539047619047619
113031265,11265,1970.9,6411,0.03,3.2528286569587497
113031266,11266,3434.3,6857,0.03,1.9966223102233351
113031267,11267,54.0,16994,0.07,314.7037037037037
113031268,11268,53.7,4524,0.02,84.24581005586592
113031269,11269,29.4,21869,0.09,743.843537414966
113031270,11270,54.9,12573,0.05,229.01639344262296
113031271,11271,9334.7,15107,0.06,1.6183701672255133
114011272,11272,537.1,8927,0.04,16.62074101657047
114011273,11273,166.9,3683,0.02,22.067106051527862
114011274,11274,76.4,5044,0.02,66.02094240837695
114011275,11275,2144.5,52,0.0,0.02424807647470273
114011276,11276,31.0,4290,0.02,138.38709677419354
114011277,11277,99.7,16162,0.07,162.1063189568706
114011278,11278,101.7,20547,0.08,202.0353982300885
114011279,11279,76.9,14219,0.06,184.90247074122234
114011280,11280,39.8,4394,0.02,110.40201005025126
114011281,11281,376.0,3469,0.01,9.226063829787234
114011282,11282,46.8,15671,0.06,334.85042735042737
114011283,11283,677.6,5159,0.02,7.613636363636363
114021284,11284,55.6,13280,0.05,238.84892086330936
114021285,11285,174.4,6192,0.03,35.5045871559633
114021286,11286,73.8,9240,0.04,125.20325203252033
114021287,11287,118.1,10050,0.04,85.09737510584252
114021288,11288,498.5,3582,0.01,7.18555667001003
114021289,11289,1409.7,6715,0.03,4.763424842165
115011290,11290,8.3,23665,0.1,2851.204819277108
115011291,11291,11.0,20888,0.09,1898.909090909091
115011294,11294,7.2,6426,0.03,892.5
115011296,11296,7.8,13224,0.05,1695.3846153846155
115011553,11553,4.2,7908,0.03,1882.857142857143
115011554,11554,2.1,5780,0.02,2752.3809523809523
115011555,11555,6.8,12314,0.05,1810.8823529411766
115011556,11556,4.1,9877,0.04,2409.024390243903
115011557,11557,1.6,5371,0.02,3356.875
115011558,11558,8.3,19474,0.08,2346.2650602409635
115011559,11559,10.6,23834,0.1,2248.490566037736
115021297,11297,377.5,21705,0.09,57.496688741721854
115021298,11298,191.7,5371,0.02,28.01773604590506
115031299,11299,2160.2,2745,0.01,1.2707156744745858
115031300,11300,331.9,22420,0.09,67.55046700813499
115041301,11301,81.6,10779,0.04,132.09558823529412
115041302,11302,36.7,23302,0.1,634.9318801089918
116011303,11303,8.0,17600,0.07,2200.0
116011304,11304,7.4,18503,0.08,2500.4054054054054
116011306,11306,9.9,23426,0.1,2366.2626262626263
116011307,11307,11.8,25611,0.11,2170.423728813559
116011308,11308,11.2,24788,0.1,2213.214285714286
116011560,11560,3.4,12744,0.05,3748.2352941176473
116011561,11561,4.7,16719,0.07,3557.2340425531916
116021309,11309,5.1,16652,0.07,3265.0980392156866
116021310,11310,9.8,33702,0.14,3438.9795918367345
116021312,11312,79.4,17893,0.07,225.35264483627202
116021562,11562,0.9,3905,0.02,4338.888888888889
116021563,11563,7.8,23593,0.1,3024.74358974359
116031313,11313,6.1,18970,0.08,3109.8360655737706
