SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11063,265.39223649825783,214;154;343;81;1011,265.39223649825783;1833.2186411149826;3219.2082643728227;3418.937042682927;3724.9468096689898
11064,1216.1188243911372,154;214;287;81;646,1884.2022157114084;1935.7529573338218;3772.2544772019783;4172.314447903315;4403.797839223586
11065,596.8080180799843,454;455;287;910;661,737.2772133241623;1937.71769676722;2047.432691362877;4073.4084209491994;4225.018325636239
11066,1084.3222099447514,343;214;1011;538;454,1097.85908839779;3876.555082872928;4044.99908839779;4051.99908839779;4797.951215469614
11067,332.1160517445568,455;454;287;661;558,332.1160517445568;1890.9921289969939;2081.4754759952625;2316.8641158786554;3879.9767422793116
11068,989.2028402366863,661;455;910;454;911,2359.427041420118;2615.2459467455624;2778.972218934912;3587.556065088757;4045.313905325444
11069,1223.4192618806874,1002;853;454;602;343,1266.380299966296;4616.257128412537;6019.527906976745;6215.545871250421;6242.362487360971
11070,371.3057541072958,473;687;82;54;643,371.3057541072958;1377.8136883905627;2568.62979054738;3150.313688390563;3160.1295180253833
11071,859.853087613293,687;473;643;54;55,1226.0037703927492;1512.5485438066464;3037.006561933534;3227.5057764350454;3249.1446042296075
11072,226.97798945398876,583;347;745;254;957,226.97798945398876;1660.5696972274197;2837.9440806259563;4089.26969722742;4693.46969722742
11073,776.3161233480176,745;583;687;347;54,778.0676064610866;3082.20140969163;4183.507694566813;4450.625198237885;4887.388428781204
11074,1285.2959313536444,347;583;254;745;202,1992.6784130350945;2392.932500964134;3675.9008387967606;4613.3373602005395;4840.387601234092
11075,Not found,Not found,Not found
11076,627.4647301194891,81;647;252;646;54,658.8782859497322;1963.4775030902347;1997.0278670512291;2033.343098475484;2383.180826809504
11077,218.0339994740994,646;252;647;81;558,239.95940573231658;351.8025821719695;538.7804470155141;2041.0696923481464;2044.268004207205
11078,345.4071298451573,646;252;647;558;81,375.2302449144824;437.1339034510677;810.0902236615727;1869.321025199879;2203.619178220828
11079,901.1132436627004,558;646;252;647;81,1624.5826435592344;1629.1537592688396;1707.7441369201586;1970.7613467839285;3213.145809622348
11080,347.0309364099812,338;490;189;49;190,347.0309364099812;2513.6261389857796;4710.443364636437;4731.373984437886;4934.158073517575
11081,1703.6824348958335,338;490;189;49;190,2063.8017578125;3147.557864583333;5434.856529947918;5451.439733072917;5656.84865234375
11082,984.2417393976647,490;338;812;472;714,984.2417393976647;3361.5378303626308;4471.262784265519;4686.16278426552;4700.962784265519
11083,608.4498444521258,65;249;190;189;49,612.2778603525752;2022.9777220877984;2034.9400967853437;2286.2400967853437;2580.4400967853435
11084,276.66292881278275,49;189;190;65;489,313.91631063512966;350.96738445678943;584.2444877154802;2264.729374033561;3009.0293740335605
11085,197.10957560454503,189;190;49;65;489,216.99711566475676;362.8345051956881;519.7264445955132;2035.4357191414977;2779.7357191414976
11086,1354.6521978021979,49;189;190;65;489,1360.8599947671378;1381.6091836734693;1593.5950549450552;3287.2950549450547;4031.595054945055
11087,1172.3737021013599,249;65;190;189;49,1430.836866501854;2883.9877317676146;3754.0322929542644;3900.1086217552534;4116.961650185414
11088,904.2875756537626,189;49;190;65;489,904.2875756537626;938.6875756537628;1131.2875756537626;2824.9875756537626;3569.2875756537633
11089,566.6134517374518,190;189;49;65;489,566.6134517374518;768.2117425997427;1089.8521441441442;1772.2230630630631;2517.7781981981984
11090,1038.4155043719343,65;190;189;49;489,1102.7735338025163;1248.7918319471103;1500.0918319471102;1794.2918319471103;1838.7970995947962
11091,1688.366909178126,189;49;190;338;65,1688.366909178126;1722.766909178126;1915.366909178126;3368.7929405180685;3609.066909178126
11092,1226.2873708091756,92;100;327;187;942,2622.542626670028;3927.3078144693723;9199.99730274767;10432.656743130829;11088.839475674316
11093,642.9623463446194,187;641;92;907;950,1352.873646754367;6679.905412982532;9233.531960319173;10035.239702393788;10141.156394220401
11094,914.2328151566676,207;346;311;45;942,1371.392761719699;2428.790745688608;4631.39016273986;5665.145081369929;5872.806169540928
11095,800.3676678089095,641;950;907;604;905,2264.814996976416;2768.951662971175;3863.54575690385;5474.78429752066;6415.432856278976
11096,995.5449720670391,942;470;195;327;586,2879.096849782744;3075.0431719428925;3886.593575418995;5664.48378336437;7492.937895716946
11097,340.34758620689655,107;535;983;958;672,340.34758620689655;4982.440203504805;8474.258015828153;11440.511486715657;12173.481797625776
11098,2752.388929146538,983;535;107;401;187,7992.717954911433;9797.661513687603;10710.077214170693;13994.492552334943;17384.966344605473
11099,865.3290104101342,206;45;202;254;311,2078.137313432836;3665.9219114511475;4444.222839583595;4926.366800451524;5335.765583845478
11100,262.7006351039261,483;251;604;957;311,265.2426963048499;342.29077174749807;2241.671680138568;2370.3982294072366;3185.6487586605085
11101,353.8355634218289,483;251;604;957;311,358.7075221238938;388.9895398230088;2132.4472035398226;2384.348837758112;3272.778318584071
11102,460.07821612349915,251;483;604;957;661,460.73897084048025;469.74373927958834;1922.2528873642082;2690.011172098342;3179.425991995426
11103,1249.3761369716426,483;251;604;957;311,1306.0825396825396;1351.29391831639;2827.422150882825;2963.967415730337;3745.681986802211
11104,852.8052016498626,311;346;483;251;950,906.8223418881761;2838.657172318973;3521.4427589367556;3600.4427589367556;4629.683043079744
11105,602.7700198746369,604;907;251;483;661,981.5600366916373;1837.8756917902465;2774.096284971717;2781.8261427916223;3593.5186668705087
11106,710.5167533936651,957;483;251;558;347,740.8649208144795;2761.5456561085975;2834.0646380090498;3219.9851131221717;3891.4487669683253
11107,1283.9234580084872,172;757;494;449;388,1478.6548406197571;1561.3904371854337;1581.176078160466;1606.0249679265767;2616.005467285108
11108,345.5404252419245,172;449;494;757;388,345.5404252419245;1191.5316160101765;2128.5316160101765;2557.240856844305;2649.5316160101765
11109,1292.9376147943137,172;449;494;568;388,1461.481305824632;1942.19438923135;2777.4845766763115;3069.881305824632;3166.470499433891
11110,1379.0732843955066,255;494;388;142;387,1509.7014681348014;2782.6959848737624;3773.1412634857074;3838.3412634857077;3844.041263485708
11111,421.5081507549097,449;494;172;388;408,425.2032466795323;1130.9120558519696;1154.2672153479396;1688.623913043478;1732.623913043478
11112,433.3436037829766,757;172;449;593;494,433.3436037829766;2634.1885701841716;2636.7885701841715;2738.3166314086616;2747.388570184171
11113,1861.0427580579355,757;172;449;494;593,1907.7746838025296;3400.601978784169;3602.6701754385963;3678.806242350062;3960.289963280294
11114,338.39830200121287,494;449;388;142;387,338.39830200121287;1120.6870830806552;1778.5609308671924;1845.417465130382;1851.1174651303822
11115,640.9960290521553,494;388;449;142;387,640.9960290521553;1425.1965801671593;1452.042399357641;1490.3965801671595;1496.0965801671596
11116,477.41740954378605,494;449;388;142;387,477.41740954378605;1632.1109071840588;1966.2686942842163;2031.4686942842159;2037.1686942842161
11117,392.76371543957754,494;449;388;142;387,393.97641681089965;1560.6849953401677;2053.230785958372;2119.1859095548753;2124.885909554875
11118,986.8719927826784,494;388;142;387;449,988.7354149959904;1238.1953388131515;1303.3953388131517;1309.0953388131518;1532.612199278268
11119,925.9952785974657,900;142;387;388;408,925.9952785974657;2675.877764277035;2681.5777642770354;2910.4777642770355;3134.3777642770347
11120,2295.1106449686476,142;387;900;388;408,2295.1106449686476;2300.8106449686475;2389.5106449686473;2529.710644968647;2753.6106449686476
11121,524.4907777406896,900;142;387;388;408,524.4907777406896;3085.966324924896;3091.6663249248963;3320.5663249248964;3544.466324924896
11122,1315.546444572915,388;142;387;408;612,1315.546444572915;1380.7464445729152;1386.446444572915;1653.8464445729153;1670.2464445729152
11123,1265.2469327420547,494;388;142;387;449,1266.0924611973394;2111.070694752402;2176.270694752402;2181.970694752402;2370.3499445676275
11124,2080.9689994102614,112;388;142;387;494,2080.9689994102614;3486.2852958521726;3551.485295852172;3557.1852958521727;3779.085295852172
